건물번호,일시,기온,강수량,풍속,습도,일조,일사,건물유형,전력소비량
1,20220605 14,23.3,,3.9,55.0,0.0,0.27,건물기타,2569.44
1,20220605 15,22.8,,2.9,58.0,0.0,0.55,건물기타,2540.16
1,20220605 16,22.7,,3.9,57.0,0.0,0.61,건물기타,2466.72
1,20220605 17,22.6,,2.7,56.0,0.0,0.49,건물기타,2114.4
1,20220605 18,22.0,,2.0,59.0,0.0,0.18,건물기타,2149.92
1,20220605 19,21.6,,2.7,59.0,0.0,0.05,건물기타,2119.2
1,20220605 20,20.9,0.0,3.2,64.0,0.0,0.02,건물기타,2054.4
1,20220605 21,20.5,0.0,2.4,70.0,,,건물기타,1716.0
1,20220605 22,20.2,,3.1,71.0,,,건물기타,1347.36
1,20220605 23,20.2,,2.8,72.0,,,건물기타,1199.52
1,20220606 00,20.2,,1.9,74.0,,,건물기타,1108.32
1,20220606 01,20.2,,2.2,73.0,,,건물기타,1062.24
1,20220606 02,19.9,,2.0,76.0,,,건물기타,997.44
1,20220606 03,19.3,1.3,1.5,84.0,,,건물기타,964.32
1,20220606 04,18.8,0.0,2.1,84.0,,,건물기타,1003.2
1,20220606 05,18.5,0.2,2.1,88.0,,,건물기타,1134.72
1,20220606 06,18.2,0.2,1.8,89.0,0.0,0.0,건물기타,1348.32
1,20220606 07,17.9,0.1,1.9,89.0,0.0,0.07,건물기타,1693.92
1,20220606 08,17.3,1.7,3.6,91.0,0.0,0.18,건물기타,2049.6
1,20220606 09,17.2,0.0,3.1,89.0,0.0,0.26,건물기타,2269.44
1,20220606 10,17.5,0.8,3.1,90.0,0.0,0.68,건물기타,2351.04
1,20220606 11,19.3,0.0,3.2,74.0,0.3,2.32,건물기타,2349.6
1,20220606 12,20.7,,3.5,67.0,0.5,2.63,건물기타,2255.04
1,20220606 13,22.9,,4.3,57.0,0.7,3.29,건물기타,2260.8
1,20220606 14,23.2,,4.7,52.0,0.9,3.52,건물기타,2280.0
1,20220606 15,24.3,,5.4,49.0,1.0,3.32,건물기타,2217.6
1,20220606 16,24.2,,3.1,49.0,0.8,2.32,건물기타,2547.36
1,20220606 17,24.0,,3.1,49.0,0.3,1.29,건물기타,2339.52
1,20220606 18,22.4,,3.6,53.0,0.3,0.68,건물기타,2032.8
1,20220606 19,21.3,,3.7,53.0,0.2,0.32,건물기타,1950.24
1,20220606 20,19.6,,4.3,56.0,0.5,0.13,건물기타,1826.4
1,20220606 21,18.4,,3.9,59.0,,,건물기타,1531.2
1,20220606 22,17.5,,3.5,61.0,,,건물기타,1218.72
1,20220606 23,16.9,,2.8,62.0,,,건물기타,1148.64
1,20220607 00,16.7,,3.3,62.0,,,건물기타,1064.64
1,20220607 01,16.6,,5.2,62.0,,,건물기타,1031.52
1,20220607 02,16.4,,4.3,64.0,,,건물기타,952.32
1,20220607 03,16.3,,3.6,64.0,,,건물기타,928.8
1,20220607 04,16.0,0.0,3.3,66.0,,,건물기타,965.76
1,20220607 05,15.6,0.0,2.8,67.0,,,건물기타,1088.64
1,20220607 06,15.1,,2.9,70.0,0.0,0.04,건물기타,1375.2
1,20220607 07,15.7,,3.0,69.0,0.6,0.38,건물기타,1824.0
1,20220607 08,18.2,,3.0,62.0,1.0,1.1,건물기타,2353.92
1,20220607 09,19.9,,3.2,56.0,1.0,1.78,건물기타,2614.08
1,20220607 10,21.9,,3.1,50.0,1.0,2.71,건물기타,2997.12
1,20220607 11,23.0,,2.8,45.0,1.0,0.29,건물기타,3127.2
1,20220607 12,24.6,,2.6,43.0,0.9,3.34,건물기타,3134.4
1,20220607 13,25.0,,2.2,41.0,0.3,2.53,건물기타,3254.4
1,20220607 14,24.8,,2.2,41.0,0.1,1.85,건물기타,3156.96
1,20220607 15,24.7,,1.6,42.0,0.0,1.15,건물기타,3068.16
1,20220607 16,24.1,,2.2,43.0,0.0,0.59,건물기타,2991.36
1,20220607 17,24.5,,0.9,42.0,0.2,1.13,건물기타,2449.44
1,20220607 18,23.5,,2.8,46.0,0.0,0.19,건물기타,2181.6
1,20220607 19,23.3,,2.6,47.0,0.1,0.21,건물기타,2114.4
1,20220607 20,22.3,,2.1,51.0,0.0,0.05,건물기타,2001.12
1,20220607 21,21.6,,3.0,54.0,,,건물기타,1684.32
1,20220607 22,20.8,,2.9,56.0,,,건물기타,1381.92
1,20220607 23,19.5,,2.4,63.0,,,건물기타,1216.8
1,20220608 00,19.0,,3.2,61.0,,,건물기타,1124.16
1,20220608 01,18.8,,2.6,61.0,,,건물기타,1059.36
1,20220608 02,18.5,,2.6,62.0,,,건물기타,987.36
1,20220608 03,18.1,,2.2,63.0,,,건물기타,977.76
1,20220608 04,17.2,,3.2,66.0,,,건물기타,1009.92
1,20220608 05,16.5,,2.8,68.0,,,건물기타,1123.2
1,20220608 06,16.2,,2.0,69.0,0.0,0.05,건물기타,1388.16
1,20220608 07,16.9,,2.5,67.0,0.0,0.29,건물기타,1900.32
1,20220608 08,19.2,,2.2,61.0,0.9,1.2,건물기타,2333.76
1,20220608 09,21.2,,2.1,59.0,1.0,1.96,건물기타,2641.92
1,20220608 10,22.8,,2.4,55.0,1.0,2.6,건물기타,3143.52
1,20220608 11,23.4,,1.6,53.0,0.5,2.21,건물기타,3221.76
1,20220608 12,23.6,,1.6,52.0,0.2,1.41,건물기타,3222.72
1,20220608 13,23.5,,2.1,54.0,0.2,1.3,건물기타,3302.4
1,20220608 14,24.4,,1.7,51.0,0.0,1.3,건물기타,3198.24
1,20220608 15,25.5,,3.0,50.0,0.3,2.07,건물기타,3155.04
1,20220608 16,25.1,,0.8,49.0,0.1,0.73,건물기타,3071.04
1,20220608 17,24.6,,2.5,52.0,0.0,0.51,건물기타,2509.92
1,20220608 18,24.9,,2.3,54.0,0.4,0.69,건물기타,2282.4
1,20220608 19,23.4,,3.8,60.0,0.5,0.55,건물기타,2051.52
1,20220608 20,21.6,,2.8,67.0,0.0,0.1,건물기타,1904.16
1,20220608 21,20.7,,2.7,69.0,,,건물기타,1596.48
1,20220608 22,20.1,,2.7,73.0,,,건물기타,1259.52
1,20220608 23,20.0,,1.7,73.0,,,건물기타,1119.84
1,20220609 00,19.7,,2.4,77.0,,,건물기타,1042.08
1,20220609 01,19.3,,1.8,80.0,,,건물기타,933.6
1,20220609 02,19.0,,1.7,85.0,,,건물기타,871.68
1,20220609 03,18.8,,1.9,87.0,,,건물기타,850.08
1,20220609 04,18.8,,2.1,86.0,,,건물기타,888.0
1,20220609 05,18.6,,1.0,87.0,,,건물기타,997.92
1,20220609 06,18.6,0.0,0.4,86.0,0.0,0.04,건물기타,1296.0
1,20220609 07,19.0,0.0,1.0,84.0,0.0,0.19,건물기타,1907.52
1,20220609 08,19.8,0.0,1.2,81.0,0.0,0.45,건물기타,2397.12
1,20220609 09,20.1,0.1,0.6,82.0,0.0,0.33,건물기타,2666.88
1,20220609 10,20.5,0.0,1.4,80.0,0.0,0.49,건물기타,3204.0
1,20220609 11,21.6,,1.5,75.0,0.0,0.85,건물기타,3310.08
1,20220609 12,22.3,,0.9,70.0,0.0,0.92,건물기타,3292.32
1,20220609 13,22.3,0.2,0.9,72.0,0.0,0.6,건물기타,3372.48
1,20220609 14,21.5,2.3,0.3,83.0,0.0,0.55,건물기타,3265.44
1,20220609 15,23.6,,2.0,69.0,0.4,1.81,건물기타,3288.96
1,20220609 16,23.7,,2.8,62.0,0.3,1.3,건물기타,3200.16
1,20220609 17,23.9,,3.5,58.0,0.4,1.33,건물기타,2559.84
1,20220609 18,24.4,,2.7,57.0,0.8,1.2,건물기타,2390.4
1,20220609 19,23.6,,1.7,60.0,0.7,0.52,건물기타,2155.68
1,20220609 20,22.2,,2.1,67.0,0.0,0.08,건물기타,1976.16
1,20220609 21,20.8,,1.5,75.0,,,건물기타,1681.44
1,20220609 22,19.8,,1.5,77.0,,,건물기타,1331.52
1,20220609 23,19.3,,1.7,80.0,,,건물기타,1232.16
1,20220610 00,18.8,,1.8,83.0,,,건물기타,1161.6
1,20220610 01,18.5,,1.4,85.0,,,건물기타,1091.52
1,20220610 02,18.1,,2.1,87.0,,,건물기타,1007.52
1,20220610 03,17.9,,0.7,88.0,,,건물기타,987.84
1,20220610 04,17.7,,2.4,89.0,,,건물기타,1029.6
1,20220610 05,17.4,,1.8,89.0,,,건물기타,1130.4
1,20220610 06,17.3,,2.2,91.0,0.0,0.06,건물기타,1434.24
1,20220610 07,18.3,,2.2,89.0,0.2,0.46,건물기타,1835.04
1,20220610 08,20.0,,1.6,82.0,1.0,1.0,건물기타,2428.8
1,20220610 09,22.2,,2.6,72.0,1.0,1.84,건물기타,2695.68
1,20220610 10,24.3,,1.6,65.0,1.0,2.39,건물기타,3242.88
1,20220610 11,25.3,,0.6,57.0,0.7,2.45,건물기타,3457.92
1,20220610 12,26.3,,3.1,52.0,0.5,2.52,건물기타,3497.76
1,20220610 13,26.1,,3.4,54.0,0.3,2.0,건물기타,3565.44
1,20220610 14,22.8,0.0,2.9,74.0,0.0,0.42,건물기타,3399.84
1,20220610 15,22.2,1.2,0.4,79.0,0.0,0.45,건물기타,3386.4
1,20220610 16,22.4,,2.7,77.0,0.1,1.01,건물기타,3251.52
1,20220610 17,21.9,,0.7,70.0,0.0,0.25,건물기타,2606.4
1,20220610 18,22.0,,1.0,73.0,0.0,0.29,건물기타,2339.04
1,20220610 19,21.8,,3.7,76.0,0.0,0.22,건물기타,2245.92
1,20220610 20,20.9,0.0,3.4,76.0,0.0,0.02,건물기타,2136.48
1,20220610 21,20.4,0.0,0.7,71.0,,,건물기타,1768.8
1,20220610 22,19.8,,1.5,74.0,,,건물기타,1338.72
1,20220610 23,19.3,,1.7,74.0,,,건물기타,1188.0
1,20220611 00,19.1,,1.8,80.0,,,건물기타,1089.12
1,20220611 01,18.9,,1.6,79.0,,,건물기타,1014.72
1,20220611 02,18.6,,2.2,81.0,,,건물기타,923.04
1,20220611 03,18.4,,2.1,83.0,,,건물기타,912.0
1,20220611 04,18.0,,0.9,83.0,,,건물기타,938.88
1,20220611 05,17.9,,1.7,85.0,,,건물기타,1038.72
1,20220611 06,17.8,,0.9,88.0,0.0,0.06,건물기타,1264.32
1,20220611 07,18.6,,0.9,86.0,0.9,0.47,건물기타,1647.36
1,20220611 08,20.7,,1.5,76.0,0.6,1.01,건물기타,2148.96
1,20220611 09,23.6,,1.5,63.0,0.9,1.96,건물기타,2577.12
1,20220611 10,25.8,,1.4,53.0,1.0,2.59,건물기타,2962.56
1,20220611 11,27.3,,1.4,51.0,1.0,3.06,건물기타,3025.44
1,20220611 12,29.1,,2.1,46.0,1.0,3.42,건물기타,3092.64
1,20220611 13,30.9,,1.9,37.0,1.0,3.53,건물기타,3162.24
1,20220611 14,31.4,,2.8,35.0,0.9,3.12,건물기타,3177.12
1,20220611 15,30.6,,2.9,38.0,0.6,2.07,건물기타,3154.56
1,20220611 16,31.8,,2.5,37.0,0.6,1.79,건물기타,3102.72
1,20220611 17,32.2,,2.7,37.0,1.0,2.18,건물기타,2936.64
1,20220611 18,30.1,,3.2,42.0,0.2,0.58,건물기타,2729.76
1,20220611 19,29.2,,3.4,45.0,0.6,0.55,건물기타,2550.72
1,20220611 20,26.9,,3.7,52.0,0.4,0.15,건물기타,2420.16
1,20220611 21,25.3,,3.0,56.0,,,건물기타,1901.28
1,20220611 22,24.2,,2.9,59.0,,,건물기타,1256.64
1,20220611 23,23.0,,3.3,61.0,,,건물기타,1039.68
1,20220612 00,22.2,,2.9,61.0,,,건물기타,903.84
1,20220612 01,21.4,,3.1,63.0,,,건물기타,856.8
1,20220612 02,20.7,,3.1,64.0,,,건물기타,790.56
1,20220612 03,20.1,,2.1,65.0,,,건물기타,773.76
1,20220612 04,19.7,,2.4,67.0,,,건물기타,794.4
1,20220612 05,19.2,,2.2,68.0,,,건물기타,904.8
1,20220612 06,19.0,,2.6,69.0,0.0,0.06,건물기타,1054.08
1,20220612 07,20.2,,2.9,66.0,1.0,0.54,건물기타,1197.6
1,20220612 08,22.1,,3.1,60.0,1.0,1.26,건물기타,1411.68
1,20220612 09,24.1,,3.0,54.0,1.0,2.01,건물기타,2012.64
1,20220612 10,25.9,,2.8,50.0,1.0,2.52,건물기타,2563.2
1,20220612 11,27.6,,2.2,46.0,1.0,3.1,건물기타,2594.4
1,20220612 12,28.5,,1.7,45.0,1.0,3.17,건물기타,2673.12
1,20220612 13,29.9,,2.5,42.0,1.0,3.19,건물기타,2728.32
1,20220612 14,30.9,,1.7,39.0,0.9,3.06,건물기타,2754.72
1,20220612 15,30.8,,2.3,38.0,0.8,2.32,건물기타,2706.24
1,20220612 16,30.5,,2.2,42.0,0.5,1.76,건물기타,2708.16
1,20220612 17,29.2,,3.7,48.0,0.1,0.82,건물기타,2650.08
1,20220612 18,27.7,,3.6,54.0,0.0,0.47,건물기타,2552.16
1,20220612 19,25.9,,2.9,59.0,0.0,0.19,건물기타,2136.96
1,20220612 20,24.9,,2.5,62.0,0.0,0.05,건물기타,1976.64
1,20220612 21,24.1,,2.1,67.0,,,건물기타,1679.52
1,20220612 22,23.5,,2.0,70.0,,,건물기타,1368.0
1,20220612 23,22.8,,2.1,76.0,,,건물기타,1277.28
1,20220613 00,22.1,,2.7,79.0,,,건물기타,1171.68
1,20220613 01,21.8,,1.2,81.0,,,건물기타,1105.44
1,20220613 02,21.9,,0.8,79.0,,,건물기타,1034.88
1,20220613 03,21.3,2.4,1.1,90.0,,,건물기타,1028.16
1,20220613 04,20.3,15.5,2.2,92.0,,,건물기타,1062.72
1,20220613 05,19.7,0.1,1.2,84.0,,,건물기타,1190.4
1,20220613 06,19.6,,1.9,91.0,0.0,0.02,건물기타,1475.52
1,20220613 07,20.0,,2.1,92.0,0.0,0.18,건물기타,2021.28
1,20220613 08,21.5,,2.8,87.0,0.3,0.85,건물기타,2531.04
1,20220613 09,23.5,,3.2,73.0,1.0,1.76,건물기타,2811.36
1,20220613 10,25.5,,2.2,66.0,1.0,2.42,건물기타,3516.0
1,20220613 11,27.0,,2.4,58.0,0.9,2.79,건물기타,3578.4
1,20220613 12,28.7,,2.3,55.0,0.8,3.11,건물기타,3538.08
1,20220613 13,28.4,,2.7,53.0,0.5,2.33,건물기타,3679.68
1,20220613 14,28.7,0.0,1.4,56.0,0.4,2.38,건물기타,3568.32
1,20220613 15,27.2,,4.2,58.0,0.2,1.27,건물기타,3482.4
1,20220613 16,24.0,0.0,3.5,70.0,0.0,0.26,건물기타,3319.2
1,20220613 17,25.0,0.0,3.0,64.0,0.6,1.29,건물기타,2649.12
1,20220613 18,25.2,,3.5,63.0,1.0,1.37,건물기타,2368.32
1,20220613 19,24.4,,3.9,64.0,0.8,0.52,건물기타,2236.8
1,20220613 20,23.4,,3.2,65.0,0.2,0.11,건물기타,2086.56
1,20220613 21,22.7,,2.9,61.0,,,건물기타,1749.12
1,20220613 22,22.0,,3.7,57.0,,,건물기타,1449.12
1,20220613 23,21.5,,3.4,58.0,,,건물기타,1374.72
1,20220614 00,20.8,,4.1,57.0,,,건물기타,1264.8
1,20220614 01,20.2,,3.8,59.0,,,건물기타,1185.6
1,20220614 02,19.5,,4.1,61.0,,,건물기타,1108.8
1,20220614 03,19.0,,4.0,63.0,,,건물기타,1093.92
1,20220614 04,18.8,,3.6,65.0,,,건물기타,1097.76
1,20220614 05,18.6,,3.8,66.0,,,건물기타,1204.32
1,20220614 06,18.8,,4.2,64.0,0.0,0.06,건물기타,1533.6
1,20220614 07,19.7,,4.2,61.0,0.5,0.43,건물기타,1863.84
1,20220614 08,20.7,,5.7,57.0,1.0,1.11,건물기타,2383.2
1,20220614 09,22.4,,4.6,51.0,1.0,1.95,건물기타,2816.16
1,20220614 10,24.2,,4.2,48.0,1.0,2.78,건물기타,3266.4
1,20220614 11,25.8,,3.9,45.0,1.0,3.31,건물기타,3302.4
1,20220614 12,27.0,,3.6,43.0,0.9,3.5,건물기타,3300.48
1,20220614 13,26.8,,3.4,44.0,0.3,2.11,건물기타,3415.68
1,20220614 14,25.9,,3.7,48.0,0.0,1.15,건물기타,3309.6
1,20220614 15,25.1,,4.2,48.0,0.0,0.81,건물기타,3252.48
1,20220614 16,24.2,,4.3,50.0,0.0,0.5,건물기타,3086.4
1,20220614 17,23.4,,4.0,52.0,0.0,0.36,건물기타,2453.76
1,20220614 18,22.5,,4.8,52.0,0.0,0.32,건물기타,2249.76
1,20220614 19,21.5,,4.8,53.0,0.0,0.15,건물기타,2151.84
1,20220614 20,20.6,,5.2,53.0,0.0,0.04,건물기타,2031.84
1,20220614 21,19.8,,5.9,58.0,,,건물기타,1668.0
1,20220614 22,19.3,,3.9,60.0,,,건물기타,1380.48
1,20220614 23,18.8,0.0,3.6,63.0,,,건물기타,1260.48
1,20220615 00,17.7,0.0,3.3,72.0,,,건물기타,1182.24
1,20220615 01,17.1,0.0,3.0,78.0,,,건물기타,1097.76
1,20220615 02,16.5,1.2,1.3,85.0,,,건물기타,1032.96
1,20220615 03,15.9,4.7,1.8,91.0,,,건물기타,1028.64
1,20220615 04,15.4,2.5,2.8,94.0,,,건물기타,1049.76
1,20220615 05,15.2,0.8,2.2,93.0,,,건물기타,1157.76
1,20220615 06,15.0,0.2,2.5,95.0,0.0,0.01,건물기타,1429.44
1,20220615 07,15.0,0.1,3.1,95.0,0.0,0.1,건물기타,1774.08
1,20220615 08,15.3,0.0,3.6,95.0,0.0,0.24,건물기타,2338.08
1,20220615 09,15.5,1.0,3.2,95.0,0.0,0.35,건물기타,2647.68
1,20220615 10,15.9,0.8,2.7,96.0,0.0,0.42,건물기타,3117.12
1,20220615 11,16.3,3.1,2.2,96.0,0.0,0.4,건물기타,3162.24
1,20220615 12,16.7,0.5,2.1,96.0,0.0,0.41,건물기타,3168.0
1,20220615 13,17.4,0.2,2.0,93.0,0.0,0.59,건물기타,3224.16
1,20220615 14,17.9,0.0,2.0,92.0,0.0,0.62,건물기타,3117.12
1,20220615 15,18.3,1.4,2.5,93.0,0.0,0.53,건물기타,3006.72
1,20220615 16,19.1,0.0,2.9,90.0,0.0,0.77,건물기타,2591.52
1,20220615 17,19.3,0.0,2.2,89.0,0.0,0.59,건물기타,2446.56
1,20220615 18,19.7,,1.3,89.0,0.0,0.32,건물기타,2148.96
1,20220615 19,19.9,,1.5,89.0,0.0,0.2,건물기타,2010.72
1,20220615 20,20.0,,2.5,87.0,0.0,0.07,건물기타,1892.64
1,20220615 21,20.0,,2.1,87.0,,,건물기타,1606.08
1,20220615 22,19.8,0.1,2.4,92.0,,,건물기타,1386.72
1,20220615 23,19.3,1.9,0.5,93.0,,,건물기타,1252.8
1,20220616 00,19.2,0.0,1.4,93.0,,,건물기타,1175.04
1,20220616 01,19.0,0.3,1.7,95.0,,,건물기타,1115.04
1,20220616 02,18.6,0.1,2.7,94.0,,,건물기타,1034.88
1,20220616 03,18.2,0.0,2.3,95.0,,,건물기타,1011.84
1,20220616 04,17.9,,3.0,94.0,,,건물기타,1034.88
1,20220616 05,17.9,,2.3,95.0,,,건물기타,1148.64
1,20220616 06,17.7,0.0,2.8,93.0,0.0,0.01,건물기타,1456.8
1,20220616 07,17.8,0.1,2.8,93.0,0.0,0.18,건물기타,1949.76
1,20220616 08,18.1,0.0,2.2,92.0,0.0,0.31,건물기타,2432.64
1,20220616 09,18.3,0.2,2.2,91.0,0.0,0.22,건물기타,2683.2
1,20220616 10,19.8,,2.1,84.0,0.0,1.16,건물기타,3156.48
1,20220616 11,21.3,,1.9,73.0,0.0,1.52,건물기타,3323.52
1,20220616 12,21.2,,2.6,77.0,0.0,1.05,건물기타,3253.44
1,20220616 13,21.8,,2.6,74.0,0.1,1.04,건물기타,3301.92
